uid,registry,name,country,gid0_shapefile,start_date,methodology,status
VCS1047,VCS,"Carbon Emissions Reduction Project in the Forest Corridor Ambositra-Vondrozo (COFAV), Madagascar",,MDG,01/11/2007,,
VCS1052,VCS,North Pikounda REDD+,,COG,01/01/2012,,
VCS1067,VCS,Reduction of deforestation and degradation in Tambopata National Reserve and Bahuaja-Sonene National Park within the area of Madre de Dios region –Peru,,PER,01/07/2010,,
VCS1094,VCS,Ecomapua Amazon REDD Project,,BRA,01/01/2003,,
VCS1112,VCS,The Russas Project,,BRA,17/03/2011,,
VCS1113,VCS,The Valparaiso Project,,BRA,19/03/2011,,
VCS1115,VCS,JARI/AMAPÁ REDD+ PROJECT,,BRA,14/02/2011,,
VCS1118,VCS,Suruí Forest Carbon Project,,BRA,09/06/2009,,
VCS1122,VCS,April Salumei Rainforest Community Conservation Project,,PNG,22/05/2009,,
VCS1133,VCS,Yacumama Forest Carbon Project,,PER,01/01/2012,,
VCS1168,VCS,"Kulera Landscape REDD+ Program for Co-Managed Protected Areas, Malawi",,MWI,01/10/2009,,
VCS1175,VCS,"AVOIDING PLANNED DEFORESTATION AND DEGRADATION IN THE VALDIVIAN COASTAL RESERVE, CHILE",,CHL,04/11/2003,,
VCS1201,VCS,Gola REDD project,,SLE,01/08/2012,,
VCS1202,VCS,LOWER ZAMBEZI REDD+ PROJECT,,ZMB,01/10/2009,,
VCS1215,VCS,The Makira Forest Protected Area in Madagascar,,MDG,01/01/2005,,
VCS1218,VCS,"Evio Kuiñaji Ese´Eja Cuana, To Mitigate Climate Change, Madre de Dios - Perú",,PER,01/07/2011,,
VCS1311,VCS,"Carbon Emissions Reduction Project in the Corridor Ankeniheny-Zahamena (CAZ) Protected Area, Madagascar",,MDG,30/12/2007,,
VCS1325,VCS,Village Climate Solutions,,TZA,21/04/2012,,
VCS1326,VCS,Laguna Seca Forest Carbon Project,,BLZ,01/01/2011,,
VCS1329,VCS,Maísa REDD+ Project,,BRA,21/05/2012,,
VCS1340,VCS,Bale Mountains Eco-region REDD+ project,,ETH,01/01/2012,,
VCS1359,VCS,Isangi REDD+ Project,,COD,12/09/2009,,
VCS1360,VCS,Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region,,PER,01/01/2021,,
VCS1382,VCS,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",,BRA,02/08/2012,,
VCS1384,VCS,Reduced Emissions from Avoided Deforestation in the Multiple Use Zone of the Maya Biosphere Reserve in Guatemala (GuateCarbon),,GTM,30/01/2012,,
VCS1389,VCS,Acapa -­ Bajo Mira Y Frontera REDD+ Project,,COL,13/11/2013,,
VCS1390,VCS,Carmen del Darién (CDD) REDD+ Project,,COL,28/01/2014,,
VCS1391,VCS,SIVIRÚ-USARAGÁ-PIZARRO-PILIZÁ (SUPP) REDD+ Project,,COL,26/10/2013,,
VCS1392,VCS,Cajambre REDD+ Project,,COL,14/11/2013,,
VCS1395,VCS,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,,COL,26/08/2013,,
VCS1396,VCS,Rio Pepe y ACABA REDD+ Project,,COL,01/12/2014,,
VCS1398,VCS,Reducing Emissions from Deforestation and Carbon Enhancement in Xe Pian National Protected Area,,LAO,01/09/2014,,
VCS1399,VCS,Mutatá REDD+ Project,,COL,26/06/2013,,
VCS1400,VCS,Concosta REDD+ Project,,COL,18/07/2013,,
VCS1403,VCS,"The Paraguay Forest Conservation Project – Reduction of GHG Emissions from Deforestation and Forest Degradation in the Parana Atlantic Ecosystem – Forest Protection in the La Amistad Community, San Rafael",,PRY,31/10/2010,,
VCS1408,VCS,Chyulu Hills REDD+ Project,,KEN,19/09/2013,,
VCS1477,VCS,Katingan Peatland Restoration and Conservation Project,,IDN,01/11/2010,,
VCS1498,VCS,Preserving Peat Swamp Forest Ecosystem Through Redd+ Activity In Kampar Peninsula Riau-Indonesia,,IDN,16/12/2014,,
